"studentID","firstName","lastName","email","section","courses","regularity"
"13-58616","Dennis","Hanson","dennis.hanson@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"55-75224","Liam","Pierce","liam.pierce@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"34-31365","Jackson","Duncan","jackson.duncan@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"45-53734","Earl","Lawson","earl.lawson@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"21-60112","Gary","Russell","gary.russell@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"17-67654","Marsha","Alvarez","marsha.alvarez@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"34-72734","Anne","Jones","anne.jones@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"25-17506","Stacey","Fletcher","stacey.fletcher@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"26-63667","Samantha","King","samantha.king@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"10-73576","Elaine","Curtis","elaine.curtis@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"13-76353","Todd","Long","todd.long@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"40-65006","Mathew","Gibson","mathew.gibson@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"43-23832","Arron","Stone","arron.stone@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"34-53787","Jessica","Lawson","jessica.lawson@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"78-54106","Tanya","Simmmons","tanya.simmmons@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"32-61273","Paula","Simmmons","paula.simmmons@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"33-43687","Lorraine","Miller","lorraine.miller@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"00-31886","Marcia","Morales","marcia.morales@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"36-82367","Aubrey","Washington","aubrey.washington@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"73-72647","Constance","Scott","constance.scott@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"44-62154","Byron","Russell","byron.russell@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
"27-47535","Louise","Jones","louise.jones@example.com","1a","[TCCALC2,TCEPHY1,CPEPRO2,TCEDATA,CPEMATH,HISTORY,GENDSOC,PATFIT2,NSTP-02,]","regular"
