studentID,firstName,lastName,email,section
22-00250,Daniel John,Baynosa,danieljohnbyns@gmail.com,2e
70-50102,Armando,Lowe,armando.lowe@example.com,1a
05-34854,April,Peterson,april.peterson@example.com,1a
57-00428,Mia,Allen,mia.allen@example.com,1a
65-03050,Judy,Little,judy.little@example.com,1a
57-62342,Bonnie,Fletcher,bonnie.fletcher@example.com,1a
85-80530,Arron,Reid,arron.reid@example.com,1a
62-07832,Yvonne,Jordan,yvonne.jordan@example.com,1a
60-31520,Ricardo,Kuhn,ricardo.kuhn@example.com,1a
82-60558,Jim,Rhodes,jim.rhodes@example.com,1a
36-56248,Ralph,Black,ralph.black@example.com,1a
02-85127,Gail,Steeves ,gail.steeves@example.com,1a
78-58824,Patsy,Wagner,patsy.wagner@example.com,1a
15-60258,Irma,Rice,irma.rice@example.com,1a
54-12886,Rick,Price,rick.price@example.com,1a
36-02576,Chloe,Baker,chloe.baker@example.com,1a
56-76276,Sue,Reed,sue.reed@example.com,1a
24-40637,Dave,Barrett,dave.barrett@example.com,1a
52-26607,Rita,Williamson,rita.williamson@example.com,1a
70-73157,Arnold,Wade,arnold.wade@example.com,1a
37-33231,Serenity,Rivera,serenity.rivera@example.com,1a
63-05456,Jeremy,Russell,jeremy.russell@example.com,1a
35-77145,Camila,Kim,camila.kim@example.com,1a
31-73055,Henry,Rhodes,henry.rhodes@example.com,1a
08-17465,Dean,Weaver,dean.weaver@example.com,1a
44-26256,Hugh,Peters,hugh.peters@example.com,1a
45-75824,Kelly,Jackson,kelly.jackson@example.com,1a
63-05516,Dylan,Rice,dylan.rice@example.com,1a
54-12280,Marion,Williamson,marion.williamson@example.com,1a
02-06572,Dennis,Hoffman,dennis.hoffman@example.com,1a
17-34847,Julian,Davidson,julian.davidson@example.com,1a
72-74438,Joshua,Fowler,joshua.fowler@example.com,1a
61-80572,Roberta,Gilbert,roberta.gilbert@example.com,1a
06-37516,Daryl,Shelton,daryl.shelton@example.com,1a
75-58737,Stella,Schmidt,stella.schmidt@example.com,1a
57-54662,Myrtle,Lopez,myrtle.lopez@example.com,1a
83-15385,Brian,Romero,brian.romero@example.com,1a
35-12154,Brent,Walters,brent.walters@example.com,1a
52-38144,Kitty,Reid,kitty.reid@example.com,1a
38-27713,Manuel,Neal,manuel.neal@example.com,1a
08-85404,Layla,Carlson,layla.carlson@example.com,1a
74-04081,Kenzi,Henry,kenzi.henry@example.com,1a
00-62532,Ronnie,Elliott,ronnie.elliott@example.com,1a
83-44163,Layla,Baker,layla.baker@example.com,1a
15-20474,Irma,Mendoza,irma.mendoza@example.com,1a
64-60726,Suzanne,Reid,suzanne.reid@example.com,1a
06-33418,Hilda,Riley,hilda.riley@example.com,1a
57-32253,Lillian,Martinez,lillian.martinez@example.com,1a
42-83210,Liam,Wagner,liam.wagner@example.com,1a
55-47014,Debra,Brooks,debra.brooks@example.com,1a
10-55487,Sergio,Murphy,sergio.murphy@example.com,1b
33-54232,Steve,Stanley,steve.stanley@example.com,1b
81-74255,Hailey,Miles,hailey.miles@example.com,1b
61-78848,Stella,Rodriguez,stella.rodriguez@example.com,1b
23-10605,Veronica,Harper,veronica.harper@example.com,1b
13-14787,Rosemary,Nelson,rosemary.nelson@example.com,1b
68-86333,Adam,Spencer,adam.spencer@example.com,1b
83-50533,Oscar,Garza,oscar.garza@example.com,1b
05-08633,Glenda,Marshall,glenda.marshall@example.com,1b
16-24086,Carolyn,Roberts,carolyn.roberts@example.com,1b
11-64124,Cassandra,Hunt,cassandra.hunt@example.com,1b
14-87372,Adam,Holt,adam.holt@example.com,1b
24-58458,Jon,Cox,jon.cox@example.com,1b
81-28654,Erica,Marshall,erica.marshall@example.com,1b
10-68367,Roberta,Moreno,roberta.moreno@example.com,1b
48-27033,Austin,Gilbert,austin.gilbert@example.com,1b
37-77241,Clifton,Davidson,clifton.davidson@example.com,1b
61-13378,Todd,Pierce,todd.pierce@example.com,1b
84-80837,Jennifer,Adams,jennifer.adams@example.com,1b
33-44587,Carlos,Graves,carlos.graves@example.com,1b
43-82850,Jeanne,Perkins,jeanne.perkins@example.com,1b
61-14102,Miriam,Douglas,miriam.douglas@example.com,1b
07-71140,Lois,Holland,lois.holland@example.com,1b
21-66261,Scott,Weaver,scott.weaver@example.com,1b
07-81630,Sheila,Sutton,sheila.sutton@example.com,1b
74-33447,Marian,Sanchez,marian.sanchez@example.com,1b
22-61054,Clifford,Hoffman,clifford.hoffman@example.com,1b
34-88276,Miguel,Jennings,miguel.jennings@example.com,1b
31-81553,Isobel,Kennedy,isobel.kennedy@example.com,1b
63-24828,Dawn,Stone,dawn.stone@example.com,1b
48-86301,Priscilla,Hanson,priscilla.hanson@example.com,1b
24-25508,Terry,Brooks,terry.brooks@example.com,1b
54-77887,Ashley,Carter,ashley.carter@example.com,1b
57-14208,Nora,Hunt,nora.hunt@example.com,1b
80-36177,Calvin,Mckinney,calvin.mckinney@example.com,1b
15-27042,Carmen,Simmons,carmen.simmons@example.com,1b
43-78510,Franklin,Brown,franklin.brown@example.com,1b
11-06154,Roland,Patterson,roland.patterson@example.com,1b
65-87565,Sean,Barrett,sean.barrett@example.com,1b
48-83485,Kylie,Terry,kylie.terry@example.com,1b
81-11865,Tracy,Castro,tracy.castro@example.com,1b
61-45422,Erika,Fox,erika.fox@example.com,1b
80-84064,Norma,Shelton,norma.shelton@example.com,1b
62-76175,Melissa,Ryan,melissa.ryan@example.com,1b
